%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	co|ohlàlà
%mor:	adv:place|là adv|aussi part|taire-PP&m v:aux|avoir&PRES&2s
	pro:rel|que$pro:sub|elle pro:obj|me$v:poss|avoir&PRES&3s
	part|faire-PP&m adv:place|là
%mor:	conj|et pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
	pro:obj|me$v:poss|avoir&PRES&3s part|faire-PP&m pro:dem|ça ?
%mor:	n|canaille&f=scoundrel ?
%mor:	adv|comment pro:sub|elle v:aux|avoir&PRES&3s part|faire-PP&m ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s pro:sub|je
	pro:obj|le$v:poss|avoir&PRES&1s pro:dem|ça part|faire-PP&m n|rien&m
%mor:	part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s prep|de&les
	n|bisou&m-PL adv|quand adv|même ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s part|luire&PP&m
	v:mdl|faire-INF det:art|un&m&sg n|bisou&m ?
%mor:	n|papillon&m
%mor:	num|deux n|papillon&m-PL ?
%mor:	det:gen|quelle&f&sg n|couleur&f pro:sub|il v:aux|être&PRES&3s
	det:art|le&m&sg n|papillon&m ?
%mor:	pro:int|lequel&m&sg ?
%mor:	pro:int|où det:art|les&pl adj|jaune-PL ?
%mor:	co|non=no
%mor:	det:art|le&m&sg adj|jaune pro:dem|ce$v:exist|être&PRES&3s neg|pas
	pro:dem|ça det:art|le&m&sg adj|jaune
%mor:	det:art|le&m&sg adj|jaune pro:dem|ce$v:aux|être&PRES&3s
	adv:place|là
%mor:	adv|comme det:art|les&pl n|cheveu&m-PL
%mor:	pro:sub|ils v:aux|être&PRES&3p adj|jaune-PL
%mor:	conj|et det:art|la&f&sg n|capuche&f pro:sub|elle
	v:exist|être&PRES&3s det:gen|quelle&f&sg n|couleur&f adv:place|là ?
%mor:	co|non=no
%mor:	co|mhm
%mor:	pro:int|quoi ?
%mor:	det:gen|quelle&f&sg det:gen|quelle&f&sg n|couleur&f pro:sub|elle
	v:aux|être&PRES&3s ?
%mor:	neg|pas adj|vert&m
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg adj|vert&m
	?
%mor:	n|montre&f pro|moi&sg prep|de&le adj|vert&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&le adj|bleu&m
%mor:	co|oui=yes
%mor:	co|hum prep|dans det:art|les&pl n|herbe&f-PL
%mor:	det:art|les&pl n|herbe&f-PL pro:sub|elles v:aux|être&PRES&3p
	adj|vert&f-PL
%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|où det:art|les&pl
	n|herbe&f-PL ?
%mor:	prep|en prep|dessous prep|de&les n|fleur&f-PL
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adj|vert&m prep|en
	adv:place|dessous adv:place|là
%mor:	n|tout&m pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adj|vert&m
	adj|vert&m
%mor:	conj|et adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	part|marquer-PP&m det:art|le&m&sg adj|petit&m n|chaperon&m adj|rouge
	prep|en adj|vert&m
