%mor:	adv|mais pro:sub|elles v:aux|avoir&PRES&3p det:art|le$n|air&m=air
%mor:	part|taire-PP&m n|montre&f-PL prep|à part|taire-PP&m n|montre&f-PL
	pro:dem|ce$v:aux|être&PRES&3s prep|à ?|arthur pro:sub|on n|touche&f
	neg|pas
%mor:	pro:sub|on n|touche&f neg|pas co|la ?|ds
%mor:	v|tenir-IMP&2s part|taire-PP&m v:mdl|vouloir&PRES&12s
	v:mdl|faire-INF det:art|un&m&sg adj|petit&m n|dessin&m
	adv:place|là–dessus ?
%mor:	prep|avec pro:dem|ça
%mor:	co|oui=yes
%mor:	part|taire-PP&m pro:obj|nous v:mdl|faire-PRES&12s det:art|un&m&sg
	adj|petit&m n|dessin&m prep|avec pro:dem|ça
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|pousser-INF det:art|les&pl
	n|bébé&m-PL
%mor:	co|ouais=yes
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF det:art|les&pl
	n|bébé&m-PL prep|à&le n|lit&m
%mor:	co|non=no adv|mais co|hé
%mor:	?|anaé pro:rel|que$v:int|est–ce adv|que pro:dem|ça part|faire-PP&m
	prep|dans det:art|le&m&sg n|lit&m pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ça part|faire-PP&m
	prep|dans det:art|le&m&sg n|lit&m prep|de&le n|bébé&m pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ça part|faire-PP&m
	adv:place|là pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro:rel|qui ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|dessiner-PP&m ?
%mor:	det:art|un&m&sg n|bonhomme&m
%mor:	pro:dem|ça part|faire-PP&m prep|de&le n|bruit&m co|ouais=yes
%mor:	pro:sub|tu v:mdl|pouvoir&PRES&12s v|dessiner-INF co|euh
	det:art|une&f&sg n|maison&f ?
%mor:	co|ah co|bon ?
%mor:	co|euh co|oui=yes conj|ou co|euh det:art|une&f&sg n|fleur&f
%mor:	co|waw pro:sub|elle v:aux|être&PRES&3s adj|beau&f&sg=pretty
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|madame&f=madam ?
%mor:	det:art|une&f&sg n|madame&f=madam ?
%mor:	adv|d'accord
%mor:	co|hum co|hum
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|quoi ?
%mor:	pro:obj|te v|montrer-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|beau&m&sg=pretty
	n|château&m co|oui=yes pro:sub|il v:aux|être&PRES&3s adj|petit&m
	co|hein
%mor:	co|euh prep|plus n|tard&m n|tout&m prep|à det:art|le$n|heure&f
%mor:	adv|après
%mor:	pro:sub|on det:art|le&m&sg v|regarder-FUT&3s n|tout&m prep|à
	det:art|le$n|heure&f adv|d'accord ?
%mor:	adv|parce adv|que part|taire-PP&m v:mdl|savoir&PRES&12s prep|après
	pro:sub|il v:mdllex|falloir&FUT&3s pro:rel|que$pro:sub|on
	v|ramener-IMP&2s ?|aliyah prep|à&le n|train&m
%mor:	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|on v|ailler-IMP&2s
	v|chercher-INF det:art|les&pl n|garçon&m-PL n|tout&m pro:dem|ça
%mor:	conj|et adv:place|après pro:sub|on v|regarder-FUT&3s adv|si
	part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	adv|d'accord ?
%mor:	co|ouais=yes
%mor:	part|taire-PP&m det:poss|leur&sg v|dire-PRES&PASS&12s prep|à
	adv|tout prep|à det:art|le$n|heure&f
%mor:	co|ouais=yes n|demain&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:sub|je$v:aux|avoir&PRES&1s
	part|dire-PP&m ?
%mor:	v:int|est–ce pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s
	pro:obj|les v|regarder-INF n|tout&m prep|de n|suite&f ?
%mor:	co|non=no
%mor:	co|non=no co|euh
%mor:	co|non=no
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s prep|après pro:sub|on
	v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|un&m&sg n|jeu&m
	prep|avec det:art|le$n|ordinateur&m prep|de n|maman&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	pro:rel|que$pro:sub|on v:mdl|faire-PRES&SUB&13s det:art|un&m&sg
	n|jeu&m prep|sur det:poss|mon&m&sg n|ordinateur&m ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s prep|comme det:art|la&f&sg
	n|dernier&f n|fois&f prep|avec ?|aliyah ?
%mor:	adv|quand pro:sub|on v|regarder-PRES&SUB&13s det:art|les&pl
	n|image&f-PL conj|et adv|que part|taire-PP&m v:mdl|devoir&PRES&12s
	v|montrer-INF
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	part|taire-PP&m v|croire&PRES&12s adv|que pro:dem|ça
	v:mdl|aller&PRES&3s v|marcher-INF ?
%mor:	pro|moi&sg pro:sub|je v|croire&PRES&12s neg|pas
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|dessiner-PRES&SUB&2s ?
