%mor:	co|bah co|oui=yes adv:place|là pro:dem|ce$v:exist|être&PRES&3s
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|déchirer-PP&m det:art|le&m&sg
	n|livre co|bah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s neg|pas
	n|bien&m co|hein
%mor:	conj|et pro|toi&sg part|taire-PP&m v:mdl|faire-PRES&12s prep|de&les
	n|bêtise&f-PL prep|de&les n|fois&f prep|chez ?|véro ?
%mor:	co|non=no adv|jamais ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s adv|jamais prep|à&le n|coin&m ?
%mor:	co|non=no adv|jamais adv|jamais ?
%mor:	conj|et prep|à det:art|la&f&sg n|maison&f pro:sub|tu
	v:mdl|faire-PRES&12s adv|jamais prep|de n|bêtise&f-PL ?
%mor:	co|non=no conj|et prep|chez n|mamie&f ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|jamais part|faire-PP&m
	prep|de n|bêtise&f-PL prep|chez n|mamie&f ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas part|faire-PP&m
	det:art|une&f&sg n|bêtise&f det:art|le$pro|autre&sg n|jour&m ?
%mor:	co|hein ?
%mor:	adv|quand part|taire-PP&m pro:sub|tu$v:exist|être&PRES&2s
	part|sauver-PP&f prep|dans det:art|la&f&sg n|ru&f
	pro:dem|ce$v:aux|être&IMPF&3s neg|pas det:art|une&f&sg n|bêtise&f ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|une&f&sg
	n|bêtise&f ?
%mor:	pro:sub|on v:aux|avoir&PRES&3s det:art|le&m&sg adj|droit&m prep|de
	pro:refl|se v|sauver-INF adv|toute adj|seul&f prep|dans
	det:art|la&f&sg n|ru&f ?
%mor:	co|bah adv|alors
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	det:art|une&f&sg n|bêtise&f
%mor:	adv|encore prep|de&les n|gâteau&m-PL ?
%mor:	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	conj|et conj|pourquoi part|taire-PP&m
	pro:sub|tu$v:aux|être&IMPF&12s part|sauver-PP&f prep|dans
	det:art|la&f&sg n|ru&f ?
%mor:	co|hein ?
%mor:	adv:int|pourquoi part|taire-PP&m n|étai&m-PL n|allée&f prep|dans
	det:art|la&f&sg n|ru&f ?
%mor:	adv|parce prep|que pro:rel|quoi ?
%mor:	adv|parce prep|que pro:rel|quoi ?
%mor:	adv|parce adv|que part|taire-PP&m v:mdl|vouloir&IMPF&12s
	det:poss|ta&f&sg n|maman&f ?
%mor:	conj|et v:int|est–ce prep|que ?|ael pro:sub|il part|faire-PP&m
	prep|de&les n|bêtise&f-PL ?
%mor:	co|non=no adv|jamais ?
%mor:	co|hum co|hum
%mor:	conj|et ?|arthur ?
%mor:	adv|jamais ?
%mor:	conj|et ?|homer ?
