%mor:	co|ben conj|ou conj|sinon part|taire-PP&m pro:obj|te n|mets&m
%mor:	n|comment&m pro:sub|il part|dire-PP&m det:art|le&m&sg n|comment&m
	pro:sub|il v|parler-PRES&SUB&13s det:art|le&m&sg n|singe&m ?
%mor:	co|ah co|bon
%mor:	pro:int|qui v:int|est–ce pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&3s adj|donné&f det:dem|cette&f&sg
	n|marionnette&f ?
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s pro:int|qui
	v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s part|donner-PP&m
	det:dem|cette&f&sg n|marionnette&f ?
%mor:	co|han pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s part|ramener-PP&m ?|ael ?
%mor:	co|oh
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|colley&m=collie
%mor:	co|ah pro:dem|celui–là pro:sub|je pro:obj|le$v|adorer-IMP&2s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v:mdl|aller&PRES&3s v|montrer-INF prep|à ?|aliyah
%mor:	adv|comme pro:sub|il v:aux|être&PRES&3s n|mignon&m
%mor:	det:art|un&m&sg adj|petit&m n|ours&m co|ouais=yes
%mor:	co|oui=yes co|chut conj|et pro:dem|ça pro:rel|que$v:int|est–ce
	adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	?|anaé ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	co|oh pro:sub|ils v:aux|être&PRES&3p co|euh part|monter-PP&m&pl
	prep|sur det:art|le&m&sg n|ukulélé&m=ukulele
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|animal&m&pl pro:int|qui
	v|jouer-PRES&3p prep|de det:art|la&f&sg n|musique&f ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&FUT&2s v:mdl|faire-INF adv|comme n|musique&f
	pro|toi&sg adv|quand part|taire-PP&m v:aux|être&FUT&2s adv|plus
	adj|grand&f ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdllex|vouloir&FUT&2s v:mdl|faire-INF prep|comme n|instrument&m ?
%mor:	co|hein ?
%mor:	prep|de det:art|le$n|atelier&m adv|de n|art&m
%mor:	part|taire-PP&m v:mdl|vouloir&FUT&2s v:mdl|aller&INF prep|à
	det:art|le$n|atelier&m adv|de n|art&m ?
%mor:	adv|mais part|taire-PP&m v:mdl|savoir&PRES&12s ?|anaé
	det:art|le$n|atelier&m adv|de n|art&m
	pro:dem|ce$v:exist|être&PRES&3s conj|que pro:y|en n:let|c n:let|e
	pro|un&m&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|tout&m prep|de n|suite&f
	co|hein
%mor:	co|hum
%mor:	conj|et pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&COND&12s v:mdl|faire-INF prep|comme n|instrument&m
	prep|de n|musique&f ?
%mor:	prep|de det:art|le$n|atelier&m adv|de n|art&m adv|d'accord
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg ?
%mor:	conj|et pro:dem|ça v|regarder-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	adv|comment pro:sub|il part|faire-PP&m ?
%mor:	adv|comment pro:sub|il part|faire-PP&m det:art|le$n|éléphant&m ?
%mor:	co|oui=yes co|oh adj|incroyable
%mor:	co|oh v|regarder-IMP&2s pro:rel|que$v:int|est–ce prep|que
	pro:dem|ce$v:aux|être&PRES&3s ?|anaé ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|fourmi&f
%mor:	co|oui=yes pro:sub|il v:mdl|aller&PRES&3s v|chercher-INF adv|encore
	pro|un&m&sg
%mor:	part|taire-PP&m part|luire&PP&m n|demande&f-PL adv|gentiment ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|mignonne&f
%mor:	v:mdl|faire-PRES&12s pro|moi&sg det:art|un&m&sg n|bisou&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle part|dire-PP&m
	?|véro ?|anaé pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
	det:art|la&f&sg qn|plus
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|faire-PP&m det:art|un&m&sg
	n|coup&m=blow prep|de adj|incroyable adv|encore ?
%mor:	co|oh co|non=no
