%mor:	adv|alors ?|anaé pro:sub|on v:aux|être&PRES&3s det:art|le&m&sg
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|encore det:art|un&m&sg n|gâteau&m
	?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg n|+n|bonhomme+prep|de+n|neige&m=snowman
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s v:mdl|falloir&PRES&3s
	v|étaler-INF adv|d'abord
%mor:	v:mdl|falloir&PRES&3s v:mdl|faire-INF det:art|une&f&sg adj|gros&f
	n|boule&f
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	n|rouleau&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	pro:sub|on part|faire-PP&m det:art|une&f&sg adj|gros&f n|boule&f
%mor:	pro:sub|on v|étaler-PRES&SUB&13s prep|avec det:art|le&m&sg
	n|rouleau&m
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|attendre-IMP&2s v:mdl|falloir&PRES&3s v|appuyer-INF prep|plus
	adj|fort&m
%mor:	adv|comme pro:dem|ça
%mor:	adv:place|voilà
%mor:	conj|et adv|maintenant part|taire-PP&m v:mdl|pouvoir&PRES&12s
	v|mettre-INF pro:dem|ça
%mor:	part|taire-PP&m v|appuyer-PRES&SUB&2s adj|fort&m
%mor:	co|oh co|hisse co|oh co|hisse co|oh co|hisse co|oh co|hisse
%mor:	conj|et
%mor:	pro:sub|on pro:obj|le$v|enlever-IMP&2s
%mor:	conj|et pro:dem|ça v:mdl|aller&PRES&3s v:mdl|faire-INF
%mor:	v:mdl|aller&PRES&3s v:mdl|faire-INF pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|couper-INF n|tout&m
	n|autour&m ?
%mor:	co|oui=yes
%mor:	co|hop
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|ohlàlà pro:sub|il pro:y|y v:aux|avoir&PRES&3s adj|plein&m
	prep|de n|+n|pâte+prep|à+n|modeler&f=modeling_clay prep|sur
	?|indiana ?|jones pro:sub|il v:mdl|aller&PRES&3s neg|pas
	v:aux|être&INF adj|content&m
%mor:	pro:sub|il v:aux|avoir&PRES&3s n|peur&f prep|de pro:rel|quoi
	?|indiana ?|jones ?
%mor:	co|hein pro:sub|il v:aux|avoir&PRES&3s n|peur&f prep|de
	pro:rel|quoi ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	prep|sur det:art|le&m&sg n|déguisement&m adv|de ?|ael pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s pro:int|quoi prep|sur
	det:art|le$n|épaule&f ?
%mor:	adv:place|là
%mor:	co|ouais=yes
%mor:	conj|et ?|indiana ?|jones pro:sub|il v:aux|avoir&PRES&3s n|peur&f
	prep|de&les n|araignée&f-PL
%mor:	pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s n|peur&f prep|de&les
	n|araignée&f-PL ?
%mor:	adv:place|voilà
%mor:	adv:place|voilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|un&m&sg n|cadeau&m
	v|regarder-PRES&SUB&13s adv|bien pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|un&m&sg n|train&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v:mdl|faire-PRES&SUB&13s det:art|un&m&sg n|train&m adv|comme
	pro:dem|ça ?
%mor:	co|oui=yes ?
%mor:	v|regarder-IMP&2s v|attendre-IMP&2s co|non=no v:mdl|falloir&PRES&3s
	v|prendre-INF
%mor:	v|prendre-PRES&IMP&12s det:art|la&f&sg n|boule&f
%mor:	part|taire-PP&m pro:obj|le$v|étaler-PRES&SUB&2s prep|avec
	det:art|le&m&sg n|rouleau&m
%mor:	co|ohlàlà pro:dem|ce$v:exist|être&PRES&3s adj|dur&m co|hein
%mor:	conj|et adv|alors part|taire-PP&m part|taire-PP&m
	v|raconter-PRES&SUB&2s part|taire-PP&m v|raconter-PRES&SUB&2s prep|à
	?|elise adv|que part|taire-PP&m n|étai&m-PL n|malade
%mor:	adv|quand v:int|est–ce adv|que part|taire-PP&m n|étai&m-PL n|malade
	?
%mor:	v|attendre-IMP&2s v:mdl|falloir&PRES&3s v|appuyer-INF prep|plus
	adj|fort&m
%mor:	adv|quand v:int|est–ce adv|que part|taire-PP&m n|étai&m-PL
	adj|malade&m ?|anaé ?
%mor:	adv|quand v:int|est–ce adv|que part|taire-PP&m n|étai&m-PL n|malade
	?
%mor:	co|hou co|hou
%mor:	pro:sub|je pro:obj|te v|parler-PRES&SUB&13s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|plus pro:obj|me
	v|parler-INF ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adv|trop adj|occupé&f
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|comprendre-PP&m
%mor:	co|ben co|oui=yes n|mai&m-PL adv|comment pro:sub|on n|demande&f ?
%mor:	co|hum co|hum
%mor:	co|hop
%mor:	co|hop
%mor:	conj|et co|hop
%mor:	co|voilà n|madame&f=madam
%mor:	adv:place|voilà
%mor:	v|attendre-IMP&2s co|oui=yes pro:sub|on v:mdl|aller&PRES&3s
	v|couper-INF
%mor:	adv:place|là
%mor:	co|ah part|taire-PP&m v|entendre-IMP&2s det:art|les&pl
	n|cloche&f-PL ?
%mor:	co|non=no co|non=no pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|à
	n|pâques
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|passé n|pâques
%mor:	adv:place|là pro:dem|ça v|sonner-PRES&SUB&13s adv|parce
	pro:rel|que$pro:sub|il v:exist|être&PRES&3s n|midi&m
%mor:	adv|donc pro:dem|ça v|sonner-PRES&SUB&13s num|douze n|fois&f
%mor:	det:art|la&f&sg n|cloche&f pro:sub|elle v|sonner-IMP&2s num|douze
	n|fois&f prep|pour v|dire-INF pro:sub|il v:exist|être&PRES&3s
	n|midi&m
%mor:	co|oh n|accident&m
%mor:	part|écrabouiller-PP&m det:art|le&m&sg n|train&m
%mor:	co|oh pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chapeau&m prep|de
	n|+n|père+n|noël ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v:mdl|faire-PRES&SUB&13s det:art|le&m&sg n|+n|père+n|noël ?
%mor:	v|regarder-IMP&2s pro:sub|on part|faire-PP&m det:art|une&f&sg
	n|boule&f prep|pour v:mdl|faire-INF det:art|le&m&sg n|corps&m
%mor:	det:art|une&f&sg n|boule&f prep|pour v:mdl|faire-INF
	det:art|la&f&sg n|tête&f
%mor:	conj|et pro:sub|on part|luire&PP&m v|mettre-PRES&3s
	det:poss|son&m&sg n|chapeau&m prep|sur det:art|la&f&sg n|tête&f
%mor:	co|oh co|bonjour n|+n|père+n|noël
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|+n|père+n|noël
%mor:	co|ah pro:sub|il v:mdl|falloir&PRES&3s prep|de&les n|yeux&m
%mor:	co|oh
%mor:	co|ah det:art|une&f&sg n|barbe&f pro:dem|ça pro:sub|je
	v:mdl|savoir&PRES&12s neg|pas pro:sub|je v:mdl|savoir&PRES&12s
	neg|pas adv|si pro:sub|on v:aux|avoir&PRES&3s det:art|une&f&sg
	n|barbe&f co|hein
%mor:	pro:sub|je v|croire&PRES&12s neg|pas
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s part|luire&PP&m v|fabriquer-INF
%mor:	v|regarder-IMP&2s pro:sub|on v|mettre-PRES&3s pro:sub|on
	part|luire&PP&m n|fabrique&f det:art|une&f&sg n|barbe&f ?
%mor:	det:art|une&f&sg adj|grand&f ?
%mor:	det:art|une&f&sg n|barbe&f
%mor:	co|oh
%mor:	n|catastrophe&f pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m
	det:poss|sa&f&sg n|tête&f
%mor:	adv|alors n|+n|père+n|noël
%mor:	part|taire-PP&m v|perdre-PRES&12s det:poss|ta&f&sg n|tête&f ?
%mor:	adv|alors part|taire-PP&m v:aux|avoir&PRES&2s prep|vu
	det:poss|sa&f&sg n|tête&f pro:sub|elle v:aux|être&PRES&3s adv|trop
	adj|lourd&f conj|alors pro:sub|elle n|tombe&f prep|en n|avant&m
%mor:	pro:sub|on pro:ind|lui part|faire-PP&m co|euh det:art|la&f&sg
	n|hotte&f prep|pour v|mettre-INF det:art|les&pl n|cadeau&m-PL ?
%mor:	co|ouais=yes
%mor:	part|taire-PP&m det:art|le&m&sg re#v:mdl|faire-PRES&12s
%mor:	v|tenir-IMP&2s v|regarder-PRES&SUB&13s pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|hotte&f prep|pour
	v|mettre-INF det:art|les&pl n|cadeau&m-PL
%mor:	co|hum co|hum
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|un&m&sg n|serpent&m ?
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s adv|dur
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|dur ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg n|peu&m
	det:art|une&f&sg adj|drôle prep|de n|tête&f det:poss|ton&m&sg
	n|+n|père+n|noël co|hein adv|quand adv|même
%mor:	pro:sub|il v:aux|être&PRES&3s n|tout&m adj|vert&m
%mor:	pro:sub|il v:aux|être&PRES&3s n|malade adv|peut–être
%mor:	co|oh v|regarder-IMP&2s pro:sub|on v|dire-COND&3s prep|de&les
	n|oreille&f-PL prep|de n|lapin&m
%mor:	v|regarder-PRES&SUB&13s det:art|le&m&sg n|lapin&m
%mor:	co|ah co|bah co|oui=yes
%mor:	co|oh co|oh n|super&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|son&m&sg n|nez&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv|trop adj|beau&m&sg=pretty
%mor:	co|oh v|regarder-IMP&2s pro:rel|ce–que
	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg n|montre&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|la v|mettre-INF ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&1s part|acheter-PP&f ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je pro:obj|te
	pro:obj|le$v|accrocher-PRES&SUB&13s ?
%mor:	adv|d'accord
%mor:	prep|sur pro:dem|ce n|bras&m adv:place|là ?
%mor:	adv|d'accord
%mor:	pro:sub|il v:aux|être&PRES&3s adj|joli&m co|hein
%mor:	pro:dem|ce n|bracelet&m
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|joli&f det:dem|cette&f&sg
	n|montre&f
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f
	pro:dem|ça ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s qn|plus det:art|le&m&sg
	n|truc&m prep|pour v|accrocher-INF adv:place|là
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF adv|comme
	pro:dem|ça
%mor:	prep|pour neg|pas pro:rel|que$pro:sub|il pro:refl|se
	v|sauver-PRES&SUB&13s
%mor:	co|bon adv|comme pro:dem|ça
%mor:	adv|comme pro:dem|ça v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|bon pro:sub|on pro:obj|le$v|enlever-IMP&2s adv|alors
%mor:	pro:sub|on pro:obj|le$v|enlever-IMP&2s ?
%mor:	adv|mais n|comment&m adv|alors ?
%mor:	v|dire-PRES&PASS&12s pro|moi&sg prep|à&le n|lieu&m prep|de
	pro:obj|te$v|énerver-INF
%mor:	v|attendre-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s
	det:art|le&m&sg n|nez&m pro:int|qui v|couler-PRES&SUB&13s
%mor:	v|expliquer-IMP&2s pro|moi&sg
%mor:	v|expliquer-IMP&2s pro|moi&sg
%mor:	v|expliquer-IMP&2s pro|moi&sg
%mor:	n|comment&m ?
%mor:	adv|comment pro:sub|je det:art|le&m&sg n|mets&m ?
%mor:	n|comment&m pro:sub|on v:mdl|devoir&PRES&3s pro:obj|le v|mettre-INF
	?
%mor:	co|hein ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s adv|bientôt v:mdl|faire-INF
	det:art|le&m&sg n|jeu&m prep|sur det:art|le$n|ordinateur&m ?
%mor:	co|ben
%mor:	adv:int|pourquoi part|taire-PP&m det:art|le&m&sg
	v|jeter-PRES&SUB&2s ?
%mor:	part|taire-PP&m prep|en v:mdl|vouloir&PRES&12s qn|plus ?
%mor:	v:int|est–ce pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	pro|autre&sg n|chose=thing adv:place|là–dedans ?
%mor:	pro:y|y v:aux|avoir&PRES&3s~pro|il adv|de pro|autres&pl
	n|surprise&f-PL adv:place|là–dedans ?
%mor:	?|anaé
%mor:	co|ah n|tien&m-PL v|regarder-PRES&SUB&13s prep|de&les n|ciseau&m-PL
	prep|pour v|couper-INF det:art|la&f&sg
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay
%mor:	part|taire-PP&m v|couper-PRES&SUB&2s det:art|les&pl n|oreille&f-PL
	prep|de&le n|lapin&m prep|avec det:art|la&f&sg prep|avec
	det:art|les&pl n|ciseau&m-PL
%mor:	v|regarder-IMP&2s
%mor:	v|attendre-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s
	det:poss|ton&m&sg n|nez&m pro:int|qui v|couler-PRES&SUB&13s
	adv|encore
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|enrhumer-PP&f co|hein
%mor:	co|aïe co|aïe det:poss|mes&pl n|oreille&f-PL
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:dem|ce$v:exist|être&PRES&3s adv|comme prep|dans det:art|le&m&sg
	n|livre pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s part|lire-PP&m
	det:art|le$pro|autre&sg n|jour&m det:art|le&m&sg n|livre adv|de
	?|ael
%mor:	det:art|le&m&sg det:art|le&m&sg n|lapin&m prep|à pro:rel|qui
	pro:sub|on v:aux|avoir&PRES&3s part|voler-PP&m det:poss|ses&pl
	n|oreille&f-PL
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	part|taire-PP&m pro:obj|te v|souvenir-PRES&12s prep|de pro:dem|ce
	n|livre ?
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|bon part|taire-PP&m v:mdl|vouloir&PRES&12s prep|plus
	v|parler-INF
%mor:	co|hop
%mor:	det:art|un&m&sg n|papillon&m
%mor:	pro|moi&sg pro:sub|je v:mdl|aller&PRES&1s v:mdl|faire-INF
	det:art|une&f&sg n|étoile&f
%mor:	pro:sub|je v:mdl|pouvoir&PRES&12s v:mdl|faire-INF det:art|une&f&sg
	n|étoile&f ?
%mor:	co|ohlàlà pro:sub|il v:aux|avoir&PRES&3s qn|plus adv|de n|oreille&f
	part|luire&PP&m co|hein
%mor:	pro|toutes&f&pl dé#part|couper-PP&f&pl det:poss|ses&pl
	n|oreille&f-PL
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg n|gros&m n|nez&m
	adj|rouge
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|clown&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s part|luire&PP&m v|couper-INF
	det:poss|ses&pl n|yeux&m ?
%mor:	co|ouille co|ouille co|ouille co|ouille co|ouille
%mor:	co|aïe co|aïe co|aïe
%mor:	det:art|une&f&sg n|étoile&f
%mor:	co|han
%mor:	co|ouille co|ouille co|ouille pro:sub|il v:mdl|aller&PRES&3s
	v:aux|avoir&INF adv|mal
%mor:	part|taire-PP&m v:exist|être&PRES&2s n|docteur&m conj|et
	part|taire-PP&m part|luire&PP&m part|taire-PP&m part|luire&PP&m
	v:mdl|faire-PRES&12s det:art|une&f&sg n|opération&f ?
%mor:	co|allez pro:sub|on v:mdl|aller&PRES&3s v|voir&INF pro:rel|ce–qui
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|dans pro:dem|ce
	n|ventre&m ?
%mor:	co|han
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|dans det:poss|son&m&sg n|ventre&m ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s v|attendre-PRES&12s
	pro:sub|on v:mdl|aller&PRES&3s adv|bien v|regarder-INF prep|à
	det:art|le$n|intérieur&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s
%mor:	v|regarder-IMP&2s co|han pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|ben pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|gâteau&m
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s part|manger-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&le n|gâteau&m part|taire-PP&m
	v|croire&PRES&12s ?
%mor:	adv|vite v:mdl|falloir&PRES&3s pro:obj|le re#v|fermer-INF
%mor:	co|hop
%mor:	conj|et v|regarder-PRES&SUB&13s
%mor:	co|oh pro:rel|que$v:int|est–ce
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	part|taire-PP&m prep|en v:mdl|faire-PRES&12s prep|de
	det:art|la&f&sg n|+n|pâte+prep|à+n|modeler&f=modeling_clay prep|chez
	?|véro prep|de&les n|fois&f ?
%mor:	v|regarder-IMP&2s pro:sub|on v:mdllex|aller&PRES&3s pro:ind|lui
	v|mettre-INF det:art|une&f&sg n|étoile&f prep|sur det:art|la&f&sg
	n|tête&f
%mor:	co|hein part|taire-PP&m prep|en v:mdl|faire-PRES&12s prep|de
	det:art|la&f&sg n|pâte&f prep|à v|modeler-INF ?
%mor:	prep|chez ?|véro ?
%mor:	prep|avec ?|timothée ?
%mor:	co|la pro:int|quoi ?
%mor:	co|hum
%mor:	co|oh co|oh co|attention
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|nappe&f ?
%mor:	pro:sub|on v|mettre-PRES&3s det:art|une&f&sg n|nappe&f prep|sur
	det:art|la&f&sg n|table&f ?
%mor:	det:art|une&f&sg n|nappe&f prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay
%mor:	co|allez pro:sub|on v:mdl|aller&PRES&3s v|écrire-INF
	det:art|un&m&sg n|truc&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|écrire-PRES&SUB&13s ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|écrire-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v|écrire-IMP&PRES&12s
%mor:	part|taire-PP&m v|écrire-IMP&PRES&12s pro:int|quoi ?
%mor:	co|han pro:dem|ce$v:exist|être&PRES&3s adj|joli&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|écrire-PP&m ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ce n|truc&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?|anaé ?
%mor:	pro:sub|je v|comprendre-PRES&IMP&12s neg|pas pro:rel|ce–que
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour det:art|les&pl
	n|fourmi&f-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:int|quoi
	v:mdllex|faire-INF ?
%mor:	co|hum co|hum
%mor:	v:mdl|faire-PRES&12s n|attention&f adv|parce adv|que adv:place|là
	pro:dem|ça v|mettre-PRES&3s prep|de&les adj|petit&m-PL n|bout&m-PL
	adv|partout
%mor:	pro:sub|on part|faire-PP&m ?|indiana ?|jones prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	co|hein ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v:mdl|faire-INF ?|indiana ?|jones prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	?|anaé
%mor:	co|hou co|hou
%mor:	adv|d'accord
