%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te v|souvenir-PRES&12s
%mor:	co|coucou=peekaboo pro:sub|je pro:obj|te v|voir&IMP&PRES&12s
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|monter-INF pro:int|où ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|une&f&sg n|échelle&f prep|dans
	det:poss|notre&sg n|maison&f ?
%mor:	det:art|le$n|échelle&f pro:int|qui v:aux|être&PRES&3s prep|dans
	det:poss|ta&f&sg n|chambre&f pro:dem|ce$v:aux|être&PRES&3s prep|pour
	v|monter-INF pro:int|où ?
%mor:	co|bah
%mor:	adv|quand pro:sub|on v|monter-PRES&SUB&13s prep|sur
	det:art|le$n|échelle&f pro:sub|on v:mdl|aller&PRES&3s pro:int|où ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s prep|dans det:art|le&m&sg n|lit&m
	prep|de pro:rel|qui ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas pro|toi&sg pro:int|qui
	v:aux|être&PRES&2s prep|dans det:art|le&m&sg n|lit&m prep|de&le
	adj|haut&m
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|être&PRES&3s prep|dans
	det:art|le&m&sg n|lit&m prep|en adj|haut&m ?
%mor:	adv:place|au–dessus prep|de pro|toi&sg ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s
	det:poss|ton&m&sg n|frère&m ?
%mor:	co|ah
%mor:	conj|et pro|toi&sg v:int|est–ce adv|que part|taire-PP&m
	v|monter-PRES&SUB&2s prep|de&les n|fois&f prep|sur det:poss|son&m&sg
	n|échelle&f ?
%mor:	conj|et v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	det:art|le&m&sg adj|droit&m ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|content&m ?|aël adv|quand
	part|taire-PP&m v|monter-PRES&SUB&2s prep|sur det:poss|son&m&sg
	n|échelle&f ?
%mor:	co|hum ?
%mor:	co|hum
%mor:	conj|et v:int|est–ce adv|que part|taire-PP&m v:mdl|aller&PRES&2s
	prep|dans det:art|la&f&sg v|chambrer-PRES&SUB&13s adv|de ?|arthur
	prep|de&les n|fois&f ?
%mor:	co|oui=yes ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m v:mdl|faire-IMP&2s
	prep|dans det:art|la&f&sg v|chambrer-PRES&SUB&13s adv|de ?|arthur ?
%mor:	det:art|les&pl pro:int|quoi ?
%mor:	det:art|les&pl n|bulle&f-PL part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|dire-INF ?
%mor:	det:art|les&pl n|bulle&f-PL prep|dans det:poss|sa&f&sg n|lampe&f ?
%mor:	co|oui=yes ?
%mor:	conj|et adv|puis pro:int|quoi adv|de pro|autre&sg ?
%mor:	part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s prep|de&les
	n|câlin&m-PL=coaxing ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s prep|de&les
	n|câlin&m-PL=coaxing prep|à ?|arthur ?
%mor:	co|hum
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:poss|ses&pl
	n|copain&m-PL ?
%mor:	pro:sub|ils v:aux|avoir&PRES&3p n|disparu&m
%mor:	co|non=no pro:sub|je v|penser-IMP&2s neg|pas
	pro:rel|que$pro:sub|ils v:aux|être&PRES&SUB&3p adv:place|là ?|anaé
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça ?
%mor:	pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s
%mor:	co|ouais=yes part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|elle
	part|faire-PP&m qn|plus prep|de n|bruit&m pro:dem|celle–là
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|joli&f co|hein ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de n|pile&f-PL
%mor:	adv|mais pro:rel|que$v:int|est–ce prep|que
	pro:dem|ce$v:aux|être&PRES&3s prep|comme n|animal&m&sg ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	det:art|une&f&sg ?
%mor:	co|non=no
%mor:	det:art|une&f&sg n|grenouille&f ?
%mor:	co|oui=yes
%mor:	n|comment&m pro:sub|elle part|faire-PP&m det:art|la&f&sg
	n|grenouille&f ?
%mor:	on|couacoua
%mor:	on|couacoua
%mor:	co|bah adv|parce adv|que part|taire-PP&m pro:obj|te
	v|rappeler-PRES&SUB&2s prep|avant pro:y|y v:aux|avoir&IMPF&3s
	det:art|un&m&sg n|truc&m prep|pour v:mdl|faire-INF det:art|le&m&sg
	n|bruit&m prep|de det:art|la&f&sg n|grenouille&f adv:place|dedans
%mor:	adv|mais prep|comme pro:sub|il n|marche&f prep|plus pro:sub|on
	pro:obj|le$v:poss|avoir&PRES&3s part|enlever-PP&m
%mor:	adv|parce adv|que
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ma&sg n|cousin&f
	n|clémence&f pro:int|qui pro:obj|te pro:obj|le$v:poss|avoir&PRES&3s
	part|ramener-PP&m prep|de v|chiner-PRES&SUB&13s
%mor:	co|hum
%mor:	pro:sub|il v:aux|être&PRES&3s adj|joli&m co|hein ?
%mor:	det:art|une&f&sg pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|dessus ?
%mor:	pro:sub|on v|dire-COND&3s det:art|un&m&sg n|peu&m adv|plutôt
	det:art|une&f&sg n|cuisse&f prep|de n|poulet&m
%mor:	pro:sub|ils pro:refl|se v:mdl|faire-PRES&3p prep|de&les
	n|bisou&m-PL ?
%mor:	v|regarder-PRES&SUB&13s adv|si pro:sub|il pro:y|y pro:y|en
	v:aux|avoir&PRES&3s det:art|un&m&sg pro|autre&sg adv:place|là
	adv|aussi
%mor:	co|oh conj|et adv|encore det:art|un&m&sg pro|autre&sg
%mor:	co|bah v|dire-PRES&PASS&12s conj|donc pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv|toute det:art|la&f&sg n|famille&f
%mor:	conj|et v|regarder-IMP&2s pro:int|qui
	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m
%mor:	det:art|le&m&sg n|bébé&m adj|petit&m n|ours&m adj|brun&m
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s pro:ind|lui ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|dans det:poss|sa&f&sg n|main&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|livre co|non=no ?
%mor:	conj|et part|luire&PP&m pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s prep|dans
	det:poss|sa&f&sg n|main&f ?
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|poisson&m
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s neg|pas pro:obj|le$v|enlever-INF
%mor:	co|non=no
%mor:	co|ah co|oui=yes
%mor:	adv|mais
%mor:	co|bah pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|on
	pro:sub|il$v:aux|avoir&PRES&3s part|ramener-PP&m prep|dans
	det:art|la&f&sg n|chambre&f
%mor:	pro:sub|on v:mdl|aller&FUT&3s v|voir&INF n|tout&m prep|à
	det:art|le$n|heure&f
%mor:	adv|parce adv|que part|taire-PP&m v:mdl|savoir&PRES&12s pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s det:art|les&pl n|animal&m&pl adv|aussi
	pro:int|qui v:mdl|aller&PRES&3p prep|sur det:art|le&m&sg n|puzzle&m
%mor:	det:art|les&pl n|animal&m&pl prep|comme det:art|la&f&sg n|vache&f
	adv:place|là v|regarder-PRES&SUB&13s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v:mdllex|aller&PRES&SUB&13s v|voir&INF adv|si pro:sub|je
	pro:obj|le v|trouver-PRES&SUB&13s det:art|le&m&sg n|puzzle&m ?
%mor:	co|bah pro:dem|ce$v:exist|être&PRES&3s n|pareil&m adv|que
	pro:dem|celle–là v|regarder-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pis&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|tétine&f-PL prep|de
	det:art|la&f&sg n|vache&f prep|pour v|boire&INF det:art|le&m&sg
	n|lait&m=milk
%mor:	co|hum
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|pareil&m n|oui&m
%mor:	co|oui=yes
%mor:	conj|et pro:sub|elles v:aux|avoir&PRES&3p pro|toutes&f&pl
	det:art|les&pl num|deux prep|de&les n|tétine&f-PL conj|et
	prep|de&les n|corne&f-PL
%mor:	co|oui=yes conj|et adv|combien prep|de n|patte&f-PL ?
%mor:	pro:dem|ça part|faire-PP&m adv|combien ?
%mor:	part|taire-PP&m n|compte&m-PL ?
%mor:	co|hum
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s part|marquer-PP&m
	part|sévir-PP&m
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|tu v|tirer-PRES&SUB&2s prep|sur det:art|la&f&sg adj|petit&f
	n|boule&f ?
%mor:	co|oh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|lion&m ?
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&IMPF&3s det:art|le&m&sg n|cadeau&m prep|de
	?|aurelle conj|et ?|alice
%mor:	part|taire-PP&m pro:obj|te v|souvenir-PRES&12s adv|de ?|aurelle
	conj|et ?|alice ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te v|souvenir-PRES&12s
	n|comment&m pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s
	pro:ind|leur adj|petit&f n|soeur&f prep|à ?|aurelle conj|et ?|alice
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|rose ?
%mor:	conj|et det:gen|quelle&f&sg n|couleur&f adv|aussi adv:place|là ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme det:poss|ton&m&sg ?|tee
	n|shirt&m=shirt conj|et det:poss|ton&m&sg n|collant&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|fleur&f ?
%mor:	co|hum
%mor:	co|bah v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
%mor:	v|tenir-IMP&2s adj|fort&m co|hein
%mor:	co|oh pro:sub|il adj|court&m v|regarder-PRES&SUB&13s
%mor:	pro:sub|il n|court&m
%mor:	on|tchou
%mor:	co|oh pro:sub|il v:mdl|aller&PRES&3s
	pro:obj|te$v|attraper-INF=catch
%mor:	co|oh pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg n|peu&m
	part|fatiguer-PP&m pro:dem|ce n|lion&m
%mor:	v|regarder-PRES&SUB&13s pro:dem|ça v|coincer-PRES&SUB&13s
	adv:place|là
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|il
	v:aux|avoir&PRES&3s det:art|la&f&sg n|tête&f pro:int|qui pro:refl|se
	v|coincer-PRES&SUB&13s
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	n|fil&m=thread pro:int|qui v:aux|être&PRES&3s part|coincer-PP&m
	adv:place|dedans
%mor:	adv|d'accord
%mor:	adj|gros&m n|câlin&m=coaxing
%mor:	adj|gros&m n|câlin&m=coaxing
%mor:	co|bon pro:sub|il pro:y|y v:aux|avoir&PRES&3s pro:int|qui adv|de
	pro|autre&sg adv:place|là–dedans ?
%mor:	pro:sub|on v|dire-COND&3s co|euh prep|de&les n|pomme&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|donner-INF prep|à
	v|manger-INF prep|à&les n|animal&m&pl
%mor:	co|hum part|taire-PP&m v|croire&PRES&12s prep|que det:art|les&pl
	n|vache&f-PL pro:sub|elles v|manger-PRES&3p prep|de&les n|pomme&f-PL
	?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elles v|manger-PRES&3p
	prep|chez n|mamie&f det:art|les&pl n|vache&f-PL ?
%mor:	co|hum co|hum
%mor:	conj|et pro:int|qui v:int|est–ce pro:int|qui det:poss|leur&sg
	v|donner-PRES&SUB&13s prep|de det:art|le$n|herbe&f ?
%mor:	pro|toi&sg part|taire-PP&m det:poss|leur&sg v:aux|avoir&PRES&2s
	part|donner-PP&m prep|de det:art|le$n|herbe&f
	det:art|le$pro|autre&sg n|jour&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas v:aux|avoir&PP&m&sg
	n|peur&f ?
%mor:	co|non=no ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|juste adv:place|là
	v|regarder-PRES&SUB&13s
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&IMPF&12s neg|pas
	part|voir&PP&f ?
%mor:	co|hum pro:sub|elles v:mdl|aller&PRES&3p pro:refl|se v|régaler-INF
%mor:	pro:sub|elles v:mdl|aller&PRES&3p pro:refl|se v|régaler-INF
	det:art|les&pl n|vache&f-PL ?
%mor:	co|oui=yes ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|un&m&sg n|copain&m prep|pour
	det:art|les&pl n|vache&f-PL
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	pro:dem|ce n|cochon&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	pro:dem|ce n|cochon&m ?
%mor:	co|ah on|badaboum
%mor:	co|ohlàlà adv|mais pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|tout&m
	pro:int|qui n|tombe&f
%mor:	v|tenir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg adj|petit&m n|peu&m prep|de n|place&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s re#v|mettre-INF pro:dem|ça
%mor:	co|non=no v|regarder-PRES&SUB&13s adv|bien
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te
	v|rappeler-PRES&SUB&2s adv|comment pro:dem|ça
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s adv|comment
	pro:dem|ça pro:refl|se$v|appeler-IMP&2s det:art|le$n|animal&m&sg
	pro:int|qui v|mettre-PRES&3s det:poss|son&m&sg n|bébé&m prep|dans
	det:poss|sa&f&sg n|poche&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|kangourou&m ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|bien
%mor:	det:art|le&m&sg n|bébé&m n|kangourou&m pro:sub|il
	v:aux|être&PRES&3s prep|dans det:art|la&f&sg n|poche&f prep|de
	det:poss|sa&f&sg n|maman&f
%mor:	adv|d'accord
%mor:	co|oui=yes
%mor:	on|miaou
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|voir&PP&m
	?|gipsy pro:dem|ce n|matin&m ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s prep|vu
	v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|voir&PP&m ?|gipsy adv|aujourd'hui ?
%mor:	co|bah pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg
%mor:	v:int|est–ce adv|que part|taire-PP&m v:poss|avoir&PRES&2s
	part|voir&PP&m ?|gipsy pro:dem|ce n|matin&m prep|dans
	det:art|la&f&sg n|+n|salle+prep|de+n|bain ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	co|hum
%mor:	co|bah pro:dem|ce$v:aux|être&PRES&3s prep|de&les adj|petit&m-PL
	n|bouton&m-PL
%mor:	conj|et pro:dem|ça part|faire-PP&m det:art|un&m&sg n|coeur&m
	prep|sur det:poss|ton&m&sg ?|tee n|shirt&m=shirt adv|comme
	pro:dem|ça
%mor:	det:art|un&m&sg n|gros&m n|coeur&m
%mor:	?|omer part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg
	adj|petit&m n|peu&m adj|pénible adv:place|là
%mor:	co|ah co|oui=yes pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg
	n|truc&m prep|sur det:poss|sa&f&sg n|tête&f
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça ?
%mor:	co|oh v|dire-PRES&PASS&12s adv|donc
%mor:	v|dire-PRES&PASS&12s adv|donc
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|déjà prep|vu
	det:art|un&m&sg n|clown&m prep|en adj|vrai&m ?
%mor:	co|oui=yes ?
%mor:	pro:sub|il v:mdl|faire-IMPF&3s prep|de&les n|bêtise&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hum
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chevalier&m ?
%mor:	n|chevalier&m ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	det:art|un&m&sg n|chevalier&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|lion&m pro:int|qui
	v:aux|être&PRES&3s part|dessiner-PP&m prep|sur det:poss|son&m&sg
	n|bouclier&m
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s prep|sur det:poss|sa&f&sg n|tête&f ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v|mettre-PRES&SUB&3p prep|sur det:poss|leurs&pl n|tête&f-PL
	det:art|les&pl n|chevalier&m-PL ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v|mettre-PRES&SUB&3p det:poss|tes&pl n|frère&m-PL adv|quand
	pro:sub|ils pro:refl|se v|déguiser-PRES&3p prep|en n|chevalier&m-PL
	?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils pro:refl|se
	v|dire-PRES&SUB&3p adv|alors pro|tous&m&pl det:dem|ces&m&pl
	n|bonhomme&m-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|maman&f
	adv|peut–être
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|maman&f n|ours&m ?
%mor:	n|papa&m n|ours&m n|maman&f n|ours&m
%mor:	det:art|une&f&sg pro|autre&sg n|maman&f n|ours&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|éléphant&m
	adv|mais pro:sub|il v:aux|avoir&PRES&3s n|rien&m prep|à
	v:mdl|faire-INF prep|avec adj|petit&m n|ours&m adj|brun&m
%mor:	co|ah co|bon
%mor:	co|hum
%mor:	pro:sub|il pro:obj|les v|écraser-PRES&SUB&13s ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s part|luire&PP&m v:mdl|faire-INF
	adv|mal
%mor:	co|oh v|regarder-IMP&2s pro:rel|ce–que
	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m ?|anaé
%mor:	prep|à det:poss|ton&m&sg n|avis&m pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	prep|de n|charlotte&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	part|luire&PP&m v|mettre-PRES&SUB&13s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui pro:int|qui
	part|luire&PP&m n|mets&m conj|ou pro:dem|ce$v:exist|être&PRES&3s
	pro|moi&sg ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	det:poss|son&m&sg n|pantalon&m ?
%mor:	part|taire-PP&m v|croire&PRES&12s pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pantalon&m
	pro:int|qui dé#v|ranger-PRES&SUB&13s ?
%mor:	pro|moi&sg pro:sub|je v|croire&PRES&12s
	pro:dem|ce$v:aux|être&PRES&3s adv|parce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|elle
	v:aux|avoir&PRES&3s det:art|une&f&sg adv|trop adj|gros&f n|tête&f
%mor:	adv|alors pro:sub|elle v:aux|être&PRES&3s adv|trop adj|lourd&f
	n|mai&m-PL adv|si pro:sub|on v|mettre-PRES&3s adv|bien
	det:art|les&pl n|pied&m-PL adv|comme pro:dem|ça
	v|regarder-PRES&SUB&13s
%mor:	co|voilà adv:place|là pro:sub|elle v|tenir-PRES&3s adj|assise
%mor:	part|taire-PP&m part|luire&PP&m v|mettre-PRES&12s det:poss|son&m&sg
	?|tee n|shirt&m=shirt ?
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f det:poss|son&m&sg ?|tee n|shirt&m=shirt ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:y|y v|arriver-INF
	part|taire-PP&m v|croire&PRES&12s ?
%mor:	pro:sub|je v:aux|être&PRES&1s neg|pas adj|sure
%mor:	prep|en part|faire-PP&m pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg n|veste&f part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	co|bah pro:dem|ce$v:aux|être&PRES&3s prep|pour v|mettre-INF
	det:art|les&pl n|main&f-PL
%mor:	adv|parce adv|que v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s
	det:art|les&pl n|manche-PL
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m part|luire&PP&m
	v|mettre-PRES&SUB&2s det:art|les&pl n|bras&m prep|dans
	det:art|les&pl n|manche-PL
%mor:	co|ouais=yes adv|mais det:art|le&m&sg ?|tee n|shirt&m=shirt
	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|il
	v:aux|être&PRES&3s adv|parce adv|que part|taire-PP&m
	v:mdl|savoir&PRES&12s det:art|le&m&sg ?|tee n|shirt&m=shirt
	pro:sub|il v:aux|être&PRES&3s adv|tout adj|petit&m adj|petit&m
%mor:	conj|et adv|peut–être pro:sub|il v:aux|être&PRES&3s prep|avec
	det:art|les&pl det:art|les&pl n|habit&m-PL prep|de n|poupée&f-PL
	adv:place|là–haut
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|son&m&sg n|pull&m co|oui=yes
%mor:	v:mdl|falloir&PRES&3s v|dire-INF prep|que
	pro:dem|ce$v:aux|être&PRES&3s adv|tellement det:art|le&m&sg
	n|bazar&m prep|dans det:poss|votre&sg n|chambre&f prep|que
	pro:sub|on re#v|trouver-IMP&2s neg|pas adj|grand&m n|chose=thing
%mor:	det:gen|quel&m&sg n|truc&m ?
%mor:	co|bah co|oui=yes co|ta n|cuisine&f pro:sub|elle v:aux|être&PRES&3s
	part|casser-PP&f
%mor:	n|comment&m pro:dem|ça pro:refl|se v:mdllex|faire-PRES&3s
	pro:rel|que$pro:sub|elle adv|soit part|casser-PP&f ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&3s part|casser-PP&f ?
%mor:	co|bah co|tiens n|personne&f ?
