%mor:	prep|à pro:rel|quoi part|taire-PP&m n|joue&f-PL ?|anaé ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|ouais=yes pro:sub|je v:mdl|aller&PRES&1s v:mdl|aller&INF co|la
	v|mettre-INF prep|à co|la n|poubelle&f co|la n|poussier&f
	pro:dem|ce$v:exist|être&PRES&3s prep|de&les n|poil&m-PL prep|de
	n|chien&m
%mor:	co|hum
%mor:	co|attention prep|de neg|pas v|casser-INF det:poss|ton&m&sg
	n|balai&m v|attendre-IMP&2s
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|le v|casser-INF
	adv|comme pro:dem|ça
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|là–dedans ?
%mor:	v|regarder-IMP&2s
%mor:	det:art|le&m&sg n|kangourou&m
%mor:	pro:sub|on part|luire&PP&m v|mettre-PRES&3s det:poss|son&m&sg
	n|bébé&m prep|dans det:poss|sa&f&sg n|poche&f ?
%mor:	co|hop
%mor:	conj|et pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|aussi
%mor:	det:art|le&m&sg n|koala&m
%mor:	co|hum
%mor:	pro:sub|il pro:refl|se v|mettre-PRES&3s pro:rel|où det:art|le&m&sg
	n|bébé&m n|koala&m ?
%mor:	co|hum co|hum
%mor:	co|hum co|hum
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:mdl|vouloir&PRES&3s v|manger-INF ?
%mor:	co|ah co|bon ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là–bas n|mai&m-PL
	pro:sub|je v:mdl|pouvoir&PRES&12s pro:obj|te v|donner-INF
	det:art|une&f&sg adj|petit&f n|tasse&f adj|tien&m-PL
	v|regarder-PRES&SUB&13s
%mor:	co|attention
%mor:	v|tenir-IMP&2s
%mor:	co|hum
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s
	det:poss|ta&f&sg n|poupée&f ?
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|sur pro|moi&sg co|ouais=yes
%mor:	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|elle n|tête&f ?
%mor:	adv|comme n|rose ?
%mor:	adj|rose pro:sub|elle v|téter-IMP&2s det:poss|sa&f&sg n|maman&f ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|dans det:art|les&pl fam|tètè prep|de
	det:poss|sa&f&sg n|maman&f ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&le n|lait&m=milk ?
%mor:	co|oui=yes part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|le&m&sg
	v:mdl|faire-INF det:art|le&m&sg n|puzzle&m ?
%mor:	v|attendre-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	prep|de det:art|la&f&sg n|place&f prep|sur det:art|la&f&sg n|table&f
%mor:	prep|de det:art|la&f&sg
%mor:	co|ouais=yes
